Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9828877803664351,0.003307769529222681,-51.65407594695132,99.32881459025172,0.5861402066881365,0.07579917083456697,24.190066406975006,15.163301141959925,5.777676914580978,1.1310533566542957,17607.194460468025,33227.305301839464,0.580324562637775,0.047574546067096136,0.023152337858220212,0.028253481270491324,3.726724902891693e-05,1.003751184653913e-07,0.5367635007869007,0.0860981888708668,9.506951282906368e-06,2.560589755126065e-08,0.13692946448645388,0.021963823691547753
BNN-Variational Regression,0.8607000526305952,0.02410982966621896,-1.2531152450447407,2.7579871846101147,3.159322790417886,0.4027032801447935,10.829654418886516,4.0878780767531495,46.92607853400025,7.859845933155337,714.8556873785692,840.788617101876,0.9466347732282726,0.06375702246813507,0.4188536953242835,0.06774514463299194,18.825751876831056,3.0694626403340037,20.48047866821289,3.4203754463814153,4.802487516403199,0.7830260413159512,5.224611759185791,0.8725447117689825
BNN-Flipout Regression,-0.7882388561747021,0.3727270122371937,-0.308172517954823,0.25062355958755206,19.339422844252336,2.0481417929359234,16.94392692735364,1.5680703645856093,605.4763276057165,135.0207455970345,440.39676159189247,93.17006739188383,0.9573519065709863,0.011680101486692273,0.96131221719457,0.027144712194653704,114.49069366455078,9.613832555093536,106.91053009033203,5.206637259910899,29.206807708740236,2.452508710007299,27.273094177246094,1.3282228173851063
PNN-StudentT Regression,0.6799264197156972,0.048798293051575264,-0.19541774087539115,0.862081767033686,6.69407527011376,0.6493750805801861,10.88610722824765,1.9808488901390968,108.11647873843488,17.347611984359386,391.83595586923883,274.5663933152328,0.9670512640120069,0.013488285115087581,0.7019607843137254,0.06137234329203954,34.66360778808594,3.9906894258141556,36.134291076660155,3.899632287937616,8.842756652832032,1.0180328629231636,9.21793155670166,0.9948044029706812
