Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9790259495373196,0.006459282900220655,-0.847090246166084,1.0492767066293829,6.919420446864547,1.6703178809043893,109.22560467927562,32.314665006138064,358.64887429348016,103.25711222505518,28081.34193101233,13943.374522328391,0.465009009009009,0.03779721543128838,0.031578947368421054,0.04210526315789473,3.569338690175681e-05,3.850500323641116e-07,1.06302604630724,0.2835190034938765,9.105455842529175e-06,9.822704850013476e-08,0.27118011385388696,0.07232627640149883
BNN-Variational Regression,0.8577101556526259,0.015196406718014383,0.5534470814574417,0.23728177996785868,38.86390056372291,3.7124253596184538,62.771095595331914,11.831748579055432,2465.560034318828,289.6787987532204,6862.5723756789375,2277.67879093681,1.0,0.0,0.9783625730994151,0.026516453915215538,636.7382507324219,146.7544215250934,579.1197448730469,133.69805187562181,162.4332305908203,37.43735268233959,147.73463287353516,34.10665099364461
BNN-Flipout Regression,-4.38283205859813,1.5591507382218626,-4.337062334054188,4.4073880010867015,240.6516264009046,22.9993082193618,196.24785501045093,60.82782063572233,92952.5213496804,26450.337894926604,86530.11549323166,69165.93879538043,0.17200000000000001,0.029608949307063526,0.29122807017543856,0.07823153921960535,163.76912841796874,12.9963376430656,151.534375,8.854300865330089,41.77783737182617,3.3153920111360624,38.65672760009765,2.25875153325544
PNN-StudentT Regression,0.8822730649102455,0.020622958746568346,0.6135364675526425,0.18941292541365887,28.748722826268654,1.3255464489923834,55.677957499543126,10.417749242555585,2020.8310471473796,220.36924564135543,6089.3902886262895,2578.3213266763723,0.9300540540540541,0.02175556111836029,0.6666666666666667,0.11219843477417181,142.10824584960938,5.293970213808465,147.132666015625,16.537694291025606,36.25210189819336,1.3505024113766864,37.533843231201175,4.218797260461912
