Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.424797420281103,0.03228229941969224,-1.2870257359726824,0.9508533557761034,292.1911645460716,13.355241912837421,505.3111600864775,43.90422064621969,162454.12844909745,11606.486253128425,606972.6494214504,216230.34282097383,0.00072992700729927,0.0014598540145985398,0.0,0.0,1.9952367104870836e-05,1.2317151784179498e-07,0.0009282238914308648,0.0006057242181776025,5.089889565022377e-06,3.142130378666639e-08,0.0002367918090352826,0.00015452148422681044
BNN-Variational Regression,0.16487316389472034,0.0792781437573448,0.008241564820843105,0.13855817352079375,376.5855204295643,27.0479680487335,406.75383695428434,28.543712075416128,235779.65963171032,23969.092241698192,268828.13452594867,37577.84307573571,0.9781154611811547,0.02128859003340075,0.9680306905370845,0.042367289756927835,2241.418896484375,320.6002422868866,2212.210400390625,235.4542329290348,571.7905212402344,81.78576999832121,564.3393798828125,60.06485212957937
BNN-Flipout Regression,-0.6759826717529313,0.09528124788086766,-0.6155489492989314,0.2999927489291156,548.9348167741134,10.388659942313682,537.4199517242093,52.78721989698539,473069.9767499619,29738.382535549517,439056.2996675498,87134.11678507949,0.4876735235567352,0.03888028432202209,0.48972719522591646,0.025423104102122104,970.5903930664062,110.27522938490326,954.0851684570313,109.55680319260101,247.59960327148437,28.131437642563018,243.38906860351562,27.948155134337323
PNN-StudentT Regression,0.07150703769249103,0.019593621504802643,-0.06279170744071114,0.0870338849627766,402.9633189950802,9.277706168595616,427.26163597295556,34.25779457547636,262016.0853639816,7208.889871341929,289366.2949730841,35474.34075393985,0.9803264764432648,0.005899328290893274,0.964919011082694,0.02004298654761345,2210.952197265625,54.92541424855949,2215.141748046875,75.3457119912273,564.0184204101563,14.011614820245388,565.0870971679688,19.220773074698542
