Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.4933465295551806,0.010965515307710796,-4.276132398794017,4.775766101999153,9.30446274204893,0.18558485879472347,19.989942210445683,5.024122522227158,170.94289950201417,4.054891879818601,1858.7262927699571,1806.818764354729,0.001941747572815534,0.003883495145631068,0.0,0.0,2.222281614264362e-05,2.0369817325557183e-07,0.0020174069277772272,0.001039800092000177,5.669085750731566e-06,5.196381977778156e-08,0.0005146446244329987,0.00026525512551033156
BNN-Variational Regression,0.3822701281155263,0.027002494805583584,-0.010710673119066172,0.13343124939144319,10.543364500955203,0.43222778000155787,14.105037747701658,1.0061539435238036,208.41513637335555,9.254088707570784,336.70757467020576,27.15387411937843,0.9418554476806904,0.026899659742357872,0.8141779788838612,0.03252764623392981,48.60851516723633,3.7714001523150062,50.09995040893555,5.956477363995123,12.400131034851075,0.9620913573115818,12.780598831176757,1.5195090424801865
BNN-Flipout Regression,-0.36436474172718797,0.21923422845592258,-0.3465236821966111,0.22058194370218434,18.28263385119008,1.8034401322110718,18.170133632064406,1.2630952023498303,459.8415217425201,71.20669909242712,450.0024454838284,70.98977649852803,0.9544486656348201,0.010020827643690298,0.9379336349924584,0.022861503043849506,99.87266235351562,6.41329516363277,100.94985961914062,6.493772228726857,25.477719497680663,1.6360461385068952,25.752513885498047,1.656575206133409
PNN-StudentT Regression,0.17358993466403974,0.04613771281200534,-0.05180609782135019,0.22173893911106238,12.733485552131187,0.8056643638197604,14.52363318140155,2.159846862509094,278.8756283439121,16.766522088574863,352.4923199370197,75.1018519690943,0.9651188968622485,0.009401266650611844,0.8375565610859729,0.058435215189272346,66.1459587097168,4.131292723606205,66.24674453735352,9.328919874156922,16.87396945953369,1.0539014379029177,16.899678802490236,2.3798272767670774
