Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.5781833987582644,0.1832434095184949,-5.603459955842663,6.623338891130788,2.368539181179585,0.7661183556729435,6.946772265408764,3.986352732276118,22.229713057250898,9.698046192670384,132.7554565814551,132.71299242144602,0.11871657754010696,0.07853137361697413,0.0,0.0,2.4147939080427686e-05,4.5852759496740445e-07,0.06071731145628377,0.014076640939409281,6.1601885409073e-06,1.1697132525624377e-07,0.015489110065378476,0.0035909798314819738
BNN-Variational Regression,0.38734806360987034,0.2470547746254532,-0.4515981897108716,0.48416662964854645,2.956156054478036,0.7496444311708877,4.379561330445415,2.0516630135176404,30.998423196123913,11.548024668139595,56.24337242971488,50.96216105290738,0.9463458110516936,0.02934091829243543,0.8055555555555556,0.10430546308621436,18.451886940002442,5.864016669767391,15.589610385894776,10.93249313500438,4.707113981246948,1.4959224924909371,3.9769413232803346,2.788901192268608
BNN-Flipout Regression,-1.1183575299815305,1.0632913411556808,-8.367581594586671,12.52737809414362,8.078301439661706,3.3753330646115827,7.382749269594226,1.1556540030924654,115.57995342516702,69.78711439894414,105.0932086515307,30.25074016607995,0.2666666666666667,0.22077668897711214,0.3472222222222222,0.2693155476342405,7.254891777038575,3.2095826765855233,6.2732562065124515,2.1397529407959803,1.850737714767456,0.8187711075185848,1.6003204703330993,0.5458553536258657
PNN-StudentT Regression,0.36005833227741324,0.19404447411500123,-0.40262442608676474,0.5021191046326501,2.7753859327026165,1.0052702451010738,4.219248425689274,1.9147932071420029,33.47414188268319,12.92075485651447,55.99615245801768,52.18415609562051,0.9049910873440286,0.04287571159607249,0.6611111111111111,0.19277057303219414,13.705353832244873,6.79220492233823,12.421363973617554,7.922950245935123,3.4962636113166807,1.7327053483807289,3.168715178966522,2.02116072967513
