Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.913964010949746,0.015416920769100772,-16.232308278164773,26.559308755554472,18.317295015357736,2.570996982795554,182.61171104226364,99.63379196892855,1478.2803134696298,203.28938494795995,199983.50266975217,264560.13086910517,0.00536936936936937,0.006576354432876623,0.0,0.0,3.0152104096397035e-05,4.6381149909601654e-07,0.02627003191884064,0.004140826994129868,7.69186328961267e-06,1.183192603858324e-07,0.006701538754807631,0.001056333416868685
BNN-Variational Regression,0.5914196122599298,0.07718102595071599,0.4415969600397025,0.22627064490908497,68.4721522557714,5.591192162082696,74.47792139599896,6.460791584181573,7034.628509656919,1197.6843276305597,8653.538770174491,1705.4891410521095,0.9972972972972972,0.005405405405405395,0.9777777777777779,0.04444444444444447,542.1770263671875,64.91342634876413,645.9407409667969,203.56267241381246,138.31046600341796,16.559548273289252,164.78080139160156,51.929254029165584
BNN-Flipout Regression,-1.6620177197715016,0.7639925454329392,-3.143896055207512,4.043990161267978,173.47875988538584,35.475884999615054,202.66194018626075,105.83754294309321,46544.1315407871,15003.154816631106,73187.3548663517,67757.36121743276,0.19102702702702704,0.07963641100625994,0.18128654970760233,0.09268590763115298,105.08517303466797,13.397172442679008,111.76378631591797,10.628079518352187,26.807441329956056,3.417647502573891,28.511169052124025,2.711243261439431
PNN-StudentT Regression,0.7752146655548665,0.03918257858825449,0.6027415594160048,0.1288084321718414,48.38839618282833,5.534254118609644,63.13256475080524,8.140449030590432,3907.8324622889886,746.0098627702899,6538.613521062464,2339.95570424231,0.9597477477477477,0.029345283883901466,0.839766081871345,0.08957873281341104,252.97890930175782,40.940884494957075,250.5922821044922,46.30721563042367,64.53543472290039,10.444105805009082,63.926597595214844,11.813061831075036
