Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9828877803664351,0.003307769529222681,-51.65407594695132,99.32881459025172,0.5861402066881365,0.07579917083456697,24.190066406975006,15.163301141959925,5.777676914580978,1.1310533566542957,17607.194460468025,33227.305301839464,0.580324562637775,0.047574546067096136,0.023152337858220212,0.028253481270491324,3.726724902891693e-05,1.003751184653913e-07,0.5367635007869007,0.0860981888708668,9.506951282906368e-06,2.560589755126065e-08,0.13692946448645388,0.021963823691547753
BNN-Variational Regression,0.8875852967934676,0.031999770966952175,-1.752920265510539,3.2114188813642515,2.8230722885537647,0.45230102715917964,11.602786652693561,4.622578002896955,37.983607517449016,10.95819515194995,875.4564956588217,985.441369292467,0.9447868298860278,0.028822601938058294,0.4068627450980392,0.09633334324001705,14.19803981781006,1.3076404635937289,18.954095458984376,8.28059010556955,3.621949052810669,0.33358180877159677,4.8352285861969,2.112395813964213
BNN-Flipout Regression,-0.4837286845461065,0.1793205564887548,-0.3242104203234802,0.13027080696993623,18.364362760256974,1.1559514966982494,17.427099963585174,0.8500176503119619,501.4996893725682,67.79103739854743,442.70059087786547,34.50756037918946,0.9602692181417382,0.011229363563763507,0.9495475113122172,0.015619054836283433,108.24503326416016,7.4736328535994,104.89290924072266,5.529432884354706,27.613526916503908,1.9065385855382093,26.75839614868164,1.4105674832278088
PNN-StudentT Regression,0.6833639325401358,0.045957729245691005,-0.06919108288648775,0.7867706076553517,6.5872765699730085,0.7179825601271591,10.403924609355617,2.1961938006353425,106.95309628617758,16.284321086286667,347.98838138778524,241.80673032186812,0.9680549692791146,0.01686811868368416,0.7360482654600301,0.05206296992089001,33.529976272583006,5.074179308700235,38.569224166870114,10.300313090785398,8.553565979003906,1.2944339803829408,9.83908748626709,2.6276303697776733
