Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9906298771536175,0.0033056000894147296,-49.14622002742991,71.00497765144546,11.5556620345447,1.9968877215967145,1150.3057175398485,862.8305529411289,2638.8507820676277,916.0415278999743,12671703.765627526,17229250.606223594,0.2900756469807565,0.020541063781213117,0.026385336743393013,0.03143526664006489,3.666510944476389e-05,3.355057253680017e-07,0.4544738517028454,0.10476841532790467,9.353344249819067e-06,8.55881953976934e-08,0.11593720706704465,0.026726636563248266
BNN-Variational Regression,0.8889767101359697,0.030210016490964026,0.5079542887458283,0.40015216142427346,98.49045354147887,13.812595660345336,207.28256580258477,42.39254833258333,31274.263015060966,8340.634608560253,135959.6441745098,116940.92632067489,0.9154372926343729,0.0378378946948911,0.6649190110826939,0.09734943973293972,493.45888671875,29.927983568242368,510.24872436523435,109.67794297281006,125.88236694335937,7.634694849798977,130.16549530029297,27.979069882653018
BNN-Flipout Regression,-0.6371534562563104,0.08983031837746927,-0.8600819292704778,0.2889183345581813,545.3277746662873,16.19272781681562,571.7895249497981,33.34557867637406,462436.4236910508,33808.674711858366,501061.10472093197,50486.02532711202,0.5225932315859323,0.016178860336485676,0.4869138959931799,0.015478252981123777,1008.217431640625,19.390764483112317,986.2932861328125,51.400477559457926,257.1983184814453,4.946633716693772,251.60542907714844,13.112359306053786
PNN-StudentT Regression,0.7669102495843388,0.04034193668433526,0.5639166829738608,0.11813650983609644,161.9565166562471,8.841913361788585,221.5675272589063,22.17758678179095,65758.58324537156,11388.301561095099,116957.30858123957,25052.253872462286,0.9526184472461845,0.006552849200921851,0.807374254049446,0.058748175662658275,850.5136474609375,30.464153254275423,870.6919799804688,111.51254319789837,216.96776123046874,7.771470279717971,222.11529541015625,28.44705407033365
