Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9983771438831484,0.0031866659958787067,-14.118461973454085,21.906468953600204,0.055077344602150094,0.07292387048543245,6.17562621487261,1.6479788677344474,0.06956564917691713,0.13570937087517,123.21512949266062,54.317688788739744,0.3461675579322638,0.08783846377363524,0.09444444444444444,0.04762896722078402,3.5396558558758515e-05,4.95459102691605e-07,0.662167709250201,0.21838932142250983,9.029734326174144e-06,1.2639262824345163e-07,0.16892033399239811,0.05571156158737488
BNN-Variational Regression,0.8748017901222367,0.0923279753170942,0.05742232474468985,1.0267589919559075,0.9771150356176854,0.5229871808556975,2.3345806720022773,1.9702869683120645,6.928701022331737,5.805028075192066,26.65721142736836,36.78826283176816,0.9939393939393939,0.01212121212121211,0.8277777777777778,0.10153148268053924,9.383085250854492,3.739732167707152,9.482542896270752,4.465831609035122,2.3936440706253053,0.9540132721519541,2.4190159320831297,1.139242725189368
BNN-Flipout Regression,-1.7214885685839367,0.9625427663518658,-4.178045049276632,3.834841944537299,6.897560712830662,1.541873557928205,7.385283058938088,4.226322839397835,136.4868441018861,61.419854994195624,224.82031946574133,261.9841042201282,0.39304812834224595,0.076156024628731,0.5194444444444445,0.09444444444444444,5.67026424407959,1.9035106547358682,5.917992496490479,1.7435109430541285,1.4464958667755128,0.48558949284668323,1.5096918582916259,0.44477311866311864
PNN-StudentT Regression,0.7787380653427624,0.14661542367709274,0.25588084694631175,0.5182377749527806,1.1650742219856256,0.40346876501435536,2.507023258497841,2.022216892063158,11.975196119753837,8.798998378838531,31.589718247089774,39.1442368369089,0.976114081996435,0.02925958578065338,0.425,0.1731605263945411,5.167170143127441,1.429836071661747,4.836873990297318,3.6502482822713698,1.3181555986404419,0.36475408409586846,1.2338964089751243,0.9311857802047567
