Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9790259495373196,0.006459282900220655,-0.847090246166084,1.0492767066293829,6.919420446864547,1.6703178809043893,109.22560467927562,32.314665006138064,358.64887429348016,103.25711222505518,28081.34193101233,13943.374522328391,0.465009009009009,0.03779721543128838,0.031578947368421054,0.04210526315789473,3.569338690175681e-05,3.850500323641116e-07,1.06302604630724,0.2835190034938765,9.105455842529175e-06,9.822704850013476e-08,0.27118011385388696,0.07232627640149883
BNN-Variational Regression,0.8731448209716772,0.022329828957767545,0.46307597304659065,0.19762106557102546,35.85185783537443,4.264911033132217,75.080948961046,14.009263754994329,2210.895439757568,485.6544045385321,8387.788435895181,2250.80724016976,1.0,0.0,0.8315789473684211,0.3368421052631579,687.9038757324219,210.73669859336408,532.170337677002,278.3276170159612,175.48568725585938,53.75937870046899,135.75773544311522,71.0019415828281
BNN-Flipout Regression,-5.02695371235188,3.20733301847586,-4.858996136190494,2.7914991954032424,228.3536932663926,62.752407354399445,246.75927728931805,63.494851510183445,107043.93192026597,64324.91946400035,96249.49920157655,44543.58088724752,0.2153873873873874,0.07231576817737499,0.15029239766081873,0.06302780624705254,146.08734436035155,14.861705918170047,144.66005096435546,16.954652269928957,37.26717987060547,3.7912470818325597,36.9030704498291,4.3251654330957265
PNN-StudentT Regression,0.8998591379202499,0.021728785076316988,0.5990944305060641,0.21495919901094768,26.220010822687918,2.211746658579421,57.790938199584254,10.333926542308516,1714.1905940829554,253.9543615738232,6105.100647363541,2342.3345622142233,0.9382702702702703,0.021542678708202583,0.6233918128654972,0.1558389012435453,138.054248046875,10.3338076964338,138.96249084472657,21.395688978095308,35.21792068481445,2.6361741702421484,35.449614715576175,5.458081834483513
