,YieldStr(MPa),Ductility (%),Hardness (HV),oxidation
132,3377.7249,20.254835,306.21658,0.1593068
133,5165.5767,1.1678503,294.13086,0.1431814
134,3684.7131,34.955803,323.57016,0.16553932
135,3914.6606,25.743261,320.79816,0.31233037
136,1919.1151,29.097786,327.4719,0.24031232
137,5303.21,5.0795994,246.13567,0.22938144
138,1724.8741,46.295006,225.5028,0.16318169
139,3142.4956,40.35914,303.09604,0.1431814
140,1454.0095,136.37018,270.77194,1.9976473
141,1565.6912,108.1607,235.57945,1.235793
142,3234.838,50.839256,231.32538,0.18427119
143,1580.8505,60.938705,255.69244,0.15266226
144,1553.1833,76.993065,263.72556,0.20050369
145,2695.0083,1.8745694,373.4078,0.16951716
146,2137.174,3.5391405,246.21718,0.14311719
147,4708.924,4.391691,191.6337,0.1431814
148,5687.796,2.549497,332.84537,0.16505668
149,2261.5742,76.735794,265.5116,0.20875037
150,1147.3044,62.90341,281.34305,0.14536901
151,4234.353,9.432777,203.78905,0.21803388
152,3121.1562,50.69723,252.16832,6.7950463
153,3232.7341,28.150702,218.39647,0.14209281
154,1541.6869,85.04326,208.1822,0.15294808
155,4142.1694,35.340324,321.38757,6.7878833
156,749.5767,66.86073,369.19562,0.6985609
157,5504.4644,3.9680638,319.3871,0.15712732
158,1918.1691,40.51021,309.263,0.18277667
159,3922.7666,35.628967,252.74092,0.17621997
160,4557.4204,3.275446,361.60938,0.15319192
161,2150.7544,68.074814,257.31314,0.17898145
162,1568.9249,55.827377,245.56677,0.14369111
163,1224.569,77.54891,265.53854,0.18208009
164,1451.9156,131.91524,313.38855,0.36331862
165,1611.048,72.453316,266.61688,0.22994882
166,3575.6519,46.791607,241.90515,0.22042151
167,3785.0598,34.660614,307.4423,1.5238379
168,2062.9272,1.0522649,222.27681,0.1427231
169,1075.1356,37.15881,351.44122,2.4548593
170,1237.8027,87.0434,159.55298,0.1431814
171,934.3115,51.560238,322.76462,0.20916732
172,1962.8846,62.254772,177.19563,0.1431814
173,3543.7969,7.230998,278.61172,0.15551467
174,3731.7632,32.472626,271.8746,0.177449
175,1469.9431,57.217743,191.28087,0.14297466
176,1090.3864,28.830362,406.20386,0.85681856
177,1136.9996,82.33284,236.19055,0.16906133
178,1435.2319,1.3940834,206.16518,0.14087602
179,1257.8096,72.88725,325.48666,0.2313453
180,4120.4805,3.2981017,156.9313,0.1430789
181,1592.2045,55.18971,280.41104,0.19843176
182,5717.8823,1.8539155,342.05115,0.21541469
183,3871.156,16.921364,265.1442,0.14847669
184,883.2117,48.60934,292.74142,0.1431814
185,5423.476,2.9662879,278.81186,0.1529161
186,1897.587,58.535507,275.7622,0.23269838
187,1526.6165,1.8322852,231.3011,0.14280991
188,5786.0347,1.8849325,362.6114,0.2887606
189,1022.20874,42.44402,386.54587,0.30546975
190,3397.0896,27.859825,375.62634,0.1733415
191,1420.1619,71.14145,267.36612,0.1431814
192,1213.512,13.14655,376.83868,0.16539678
193,1634.9132,1.1371206,192.67946,0.13917416
194,1383.0916,11.860468,196.34445,0.13955611
195,4241.2866,14.264216,251.94017,0.22333734
196,1537.6116,62.975967,156.63069,0.15070269
197,3660.4602,42.178177,269.29898,0.1431814
198,4516.9937,3.794714,357.51944,0.17391652
199,4321.728,9.933681,211.16873,0.21916246
200,1323.4233,5.598029,336.1169,0.14578047
201,2512.3303,57.29833,232.8355,0.20878264
202,1591.0547,50.68483,218.36455,0.1431814
203,1681.134,81.61177,232.05919,0.15489256
204,4202.5815,1.2125545,138.29344,0.13996774
205,1815.807,2.0707798,286.58234,0.1430497
206,818.4845,24.788492,315.77466,0.14539494
207,1237.8108,15.564983,382.9947,0.25166264
208,914.20386,8.463489,237.6817,0.14297661
209,4872.1885,1.983899,260.02335,0.1431814
210,1206.7651,82.14412,279.14325,0.1431814
211,1048.4792,13.596608,220.04427,0.14308012
