Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Random Forest Regression,0.5491531647833827,0.16658876801764277,-0.8474901048215777,0.7957712688584083,2.8155150825545467,0.6690482570235734,5.1128016495886595,1.9016682327647032,23.574566872878748,9.327038261365482,62.09242932393421,48.05716247718872,0.8156862745098039,0.02036615022655488,0.7666666666666667,0.11699688715918158,11.153928123211607,1.9697001676848478,12.020093720254012,5.145702697294953,2.8453898273499,0.5024745325726652,3.066350438840309,1.3126792595140189
Gradient Boosting Regression,0.5841752761144798,0.18450005857560478,-1.0492920480558396,1.2721547166467608,2.306513121461978,0.7552689364496724,5.114570461402829,2.1804815537894577,21.902779843626675,9.672399146310081,66.29773650095447,48.847670822023964,0.642602495543672,0.029295399904731047,0.638888888888889,0.21318426504833216,3.3634397620803953,0.42836973844471304,3.7812892105539597,1.1762589056261865,0.8580203474694883,0.10927799450120235,0.9646145945290714,0.3000660473536191
AdaBoost Regression,0.4173032298886154,0.30380234618662433,-1.9662492834788374,2.0019014067790923,2.4251671074789165,0.860743879713571,5.322082407630555,1.7695425492499035,30.470375560630107,14.5396997193898,73.34174899265061,48.4107062305469,0.7322638146167558,0.0928604659922576,0.6194444444444445,0.14153043558729997,10.351396090625855,1.5049955601760714,10.565083962943401,3.485877655492254,2.6406622680167997,0.38392743882042657,2.6951744803427045,0.8892545039521056
Bagging Regression,0.5186608150436449,0.15916052085857446,-0.7867557419374209,0.8616680735399245,2.9633355450911063,0.6440716669091372,4.898160065845885,1.8793603791507862,24.99752276440312,9.200004703853036,58.21038854387429,49.279836431302336,0.7686274509803923,0.054757663929520445,0.638888888888889,0.13350683156331014,10.884690196689895,1.5149175974222089,10.328621691359482,4.110951490499316,2.776706682829055,0.38645857077097173,2.634852472285582,1.048712114923295
Voting Regression,0.5426303403557945,0.16081685395608974,-0.7913055115066762,0.706835813350736,2.9057796671053753,0.6429196007228762,5.1998157978520565,1.7292498190669603,23.872182692306996,9.210188818776281,60.463385356482604,46.05339262158863,0.45133689839572194,0.08767190814333156,0.35277777777777775,0.19984561942894388,2.763289835022143,0.49211868139445014,4.710259277200188,2.3964535828605347,0.704920876281159,0.12554047994756382,1.201596754387803,0.6113401997093201
Extra Trees Regression,0.5841760286990363,0.18450057032833075,-1.0841001291862138,1.213354939859609,2.3048705632578583,0.756029428030133,5.211955650591437,2.1135905524738,21.902744387948008,9.67241033787574,65.98166394168437,48.66803046206624,0.2262032085561497,0.035896655501258624,0.09722222222222222,0.09296222517045284,1.6183764073366943e-14,4.7314731534649806e-15,2.502433644033051,1.7575831929959684,4.109265831067177e-15,1.2279600978706026e-15,0.638375929600268,0.44836305943774696
Histogram-based GBR,0.0,0.0,-1.4529777909764459,2.745084208516702,5.244796417010909,0.7270934406150369,5.360643877608199,1.624898649121086,50.57935186354978,10.806542194635801,54.15646002625336,45.1277580847044,,,,,,,,,,,,
