,Al,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta
PC1,-0.22396483508611018,0.11720636605104212,-0.5363387645541934,-0.09489524893940017,0.5353638803602949,-0.08557128338605567,-0.3215825002827643,0.4724747978828661,0.13730758795432108
PC2,-0.27097962193761455,-0.3294673833362419,-0.30989758825573965,-0.1182659069545023,-0.21215402708050476,0.08680641088224066,0.5256200059785153,0.012695605182099175,0.6156425055217482
PC3,-0.2917670231272202,0.047491919520849225,-0.2533468458034303,0.296620618824881,0.24700711107573003,0.04212229954213236,0.5841932838789436,-0.08084567666936184,-0.5914756872425243
PC4,-0.5223069184758539,-0.12858803801268967,0.639534258518768,-0.3985044121405235,0.22806002137491005,-0.11736091474280227,0.113983263909451,0.24576985954444733,-0.06058711997570573
PC5,-0.2370747492125768,-0.3754206176216071,0.10098104612864146,0.6265644652698565,-0.33711842726908336,0.045769345734178915,-0.22897694708526758,0.47629497366226803,-0.07101908960641079
PC6,0.32134731577844533,0.18562125820989744,-0.10385596386626487,-0.287217747930685,-0.39411097149036217,-0.38074729444995475,0.30024336179739086,0.5757326263317024,-0.21701258438016918
PC7,-0.3804376456626722,0.6047089704604389,0.06425494451154326,0.30704804381771506,-0.17706988371060603,-0.5087115998902927,-0.007645339285255628,-0.1703906574582177,0.26824316721734637
