,YieldStr(MPa),Ductility (%),Hardness (HV),oxidation
134,2722.0193,93.35517,369.44003,0.43895125
135,886.45245,189.67374,336.16696,3.2925315
136,1134.0188,86.40397,359.62518,0.22075862
137,4335.8203,58.622066,218.93707,0.23268864
138,1074.2446,261.77988,166.43822,6.899236
139,3280.4302,130.25275,236.0749,1.0907378
140,2099.8413,104.821075,305.7646,0.19403441
141,2438.3208,35.15634,319.69366,0.1880632
142,2456.7104,26.353533,382.43176,0.2322184
143,1517.5144,41.870262,383.54364,0.2538014
144,3384.3872,42.76228,350.58685,0.20736092
145,3856.7202,82.09293,287.33414,0.20472744
146,2923.0112,136.61801,210.40424,15.423341
147,4934.2144,104.98049,251.7732,0.5024581
148,4033.105,11.626539,366.3485,0.25679034
