Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9983771438831484,0.0031866659958787067,-14.118461973454085,21.906468953600204,0.055077344602150094,0.07292387048543245,6.17562621487261,1.6479788677344474,0.06956564917691713,0.13570937087517,123.21512949266062,54.317688788739744,0.3461675579322638,0.08783846377363524,0.09444444444444444,0.04762896722078402,3.5396558558758515e-05,4.95459102691605e-07,0.662167709250201,0.21838932142250983,9.029734326174144e-06,1.2639262824345163e-07,0.16892033399239811,0.05571156158737488
BNN-Variational Regression,0.8824224560411598,0.08739168755529123,0.12967117684191526,0.6335965423356245,0.9744878820156071,0.4834376015523688,2.775147290407669,2.4445839219784995,6.187074241571812,4.632916210731596,42.611930363790876,67.82383722221608,0.9290552584670232,0.07102128637872897,0.736111111111111,0.1516371562661798,6.134879207611084,4.366641281800588,8.532573938369751,4.750161343953426,1.5650201439857483,1.113938973550262,2.176676845550537,1.211775743145448
BNN-Flipout Regression,-2.1772918374998906,1.4243088899301506,-43.77845255176853,76.45365510731274,7.060300362221065,2.872672817279096,9.542543383588168,2.3119329194692777,160.73871214451995,84.21639029800589,369.05125619487785,287.45776055914035,0.46951871657754013,0.1993627067973424,0.42777777777777776,0.12152579363459644,6.298135375976562,2.228132477207848,7.301366996765137,2.5776414171995072,1.6066670894622803,0.5684011088584031,1.8625935316085815,0.657561535830413
PNN-StudentT Regression,0.7657570964667221,0.11703162349963711,0.258821664407873,0.6488233187303261,1.2666774558417582,0.4603914561244026,2.3092761048265897,1.7089734763843216,12.905291590465689,7.411230233747545,25.3570284959007,30.920508431094298,0.9762923351158646,0.022060218901112278,0.5638888888888889,0.2122047694976031,5.711808204650879,1.710792288583063,4.46980996131897,2.3486321087788506,1.4570938110351563,0.43642649582536264,1.1402576267719269,0.5991408387269349
