Model,R2_train_mean,R2_train_std,R2_test_mean,R2_test_std,MAE_train_mean,MAE_train_std,MAE_test_mean,MAE_test_std,MSE_train_mean,MSE_train_std,MSE_test_mean,MSE_test_std,PICP_train_mean,PICP_train_std,PICP_test_mean,PICP_test_std,MPIW_train_mean,MPIW_train_std,MPIW_test_mean,MPIW_test_std,STD_train_mean_mean,STD_train_mean_std,STD_test_mean_mean,STD_test_mean_std
Gaussian Process Regression,0.9906298771536175,0.0033056000894147296,-49.14622002742991,71.00497765144546,11.5556620345447,1.9968877215967145,1150.3057175398485,862.8305529411289,2638.8507820676277,916.0415278999743,12671703.765627526,17229250.606223594,0.2900756469807565,0.020541063781213117,0.026385336743393013,0.03143526664006489,3.666510944476389e-05,3.355057253680017e-07,0.4544738517028454,0.10476841532790467,9.353344249819067e-06,8.55881953976934e-08,0.11593720706704465,0.026726636563248266
BNN-Variational Regression,0.8942935559291156,0.024357175019219822,0.37636132966976643,0.6909675435700504,98.28478654380348,17.282118349721507,201.3056254618613,30.565946747634335,29834.014910162172,6937.4518756072275,174689.37041565956,200515.07219864192,0.8979774386197743,0.0398771328330571,0.6587809036658141,0.11239755334739732,485.28761596679686,79.49532689283444,498.22600708007815,125.53282081918931,123.79785766601563,20.279421306646917,127.09846801757813,32.02367633538143
BNN-Flipout Regression,-0.6288242633378183,0.06412672817006768,-0.9253649081059233,0.3788880703595935,539.3574662872254,3.8704344757392954,571.2363983482107,49.523847780525834,459636.63114728144,19530.243536486672,522021.5676396303,102137.94670225176,0.5204220305242203,0.032363333230506997,0.4520460358056265,0.03988412488346655,974.0693359375,44.04464686400369,949.3065185546875,74.39612033150338,248.48708801269532,11.235887188283067,242.17001647949218,18.978597437331963
PNN-StudentT Regression,0.7562931823603585,0.036317065972963906,0.511534093795093,0.16473507252260544,165.17556827742914,11.873825129429228,219.75414198508756,17.522706964369533,68721.01179364257,10058.811739117966,131434.50103736183,39757.175470882554,0.9562707365627073,0.004581390358699324,0.8222506393861894,0.07417075773248387,861.0566162109375,71.16411354621977,879.363134765625,171.3663223647433,219.65728454589845,18.1541082851896,224.32732238769532,43.71590735195523
